basename,path,namespace,classname,fqcn,file_size_bytes,last_modified_iso,collision_type,recommendation,priority,estimated_effort_minutes
AIModelPerformanceTest.php,tests\AI\AIModelPerformanceTest.php,Tests\AI,AIModelPerformanceTest,Tests\AI\AIModelPerformanceTest,4096,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
AIModelPerformanceTest.php,tests\Unit\AI\AIModelPerformanceTest.php,Tests\Unit\AI,AIModelPerformanceTest,Tests\Unit\AI\AIModelPerformanceTest,32768,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
ExampleTest.php,tests\Browser\ExampleTest.php,Tests\Browser,ExampleTest,Tests\Browser\ExampleTest,1024,2025-09-17T11:00:00Z,No Collision,MERGE_TESTS,Medium,10
ExampleTest.php,tests\Feature\ExampleTest.php,Tests\Feature,ExampleTest,Tests\Feature\ExampleTest,2048,2025-09-17T11:00:00Z,No Collision,MERGE_TESTS,Medium,10
ExampleTest.php,tests\Unit\ExampleTest.php,Tests\Unit,ExampleTest,Tests\Unit\ExampleTest,1024,2025-09-17T11:00:00Z,No Collision,MERGE_TESTS,Medium,10
DataValidationTest.php,tests\Unit\DataAccuracy\DataValidationTest.php,Tests\Unit\DataAccuracy,DataValidationTest,Tests\Unit\DataAccuracy\DataValidationTest,8192,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
DataValidationTest.php,tests\Unit\DataQuality\DataValidationTest.php,Tests\Unit\DataQuality,DataValidationTest,Tests\Unit\DataQuality\DataValidationTest,8192,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
AuthenticationTest.php,tests\Feature\AuthenticationTest.php,Tests\Feature,AuthenticationTest,Tests\Feature\AuthenticationTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
AuthenticationTest.php,tests\Unit\Security\AuthenticationTest.php,Tests\Unit\Security,AuthenticationTest,Tests\Unit\Security\AuthenticationTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
BrandControllerTest.php,tests\Feature\BrandControllerTest.php,Tests\Feature,BrandControllerTest,Tests\Feature\BrandControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
BrandControllerTest.php,tests\Unit\Controllers\BrandControllerTest.php,Tests\Unit\Controllers,BrandControllerTest,Tests\Unit\Controllers\BrandControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
CategoryControllerTest.php,tests\Feature\CategoryControllerTest.php,Tests\Feature,CategoryControllerTest,Tests\Feature\CategoryControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
CategoryControllerTest.php,tests\Unit\Controllers\CategoryControllerTest.php,Tests\Unit\Controllers,CategoryControllerTest,Tests\Unit\Controllers\CategoryControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
HomeControllerTest.php,tests\Feature\HomeControllerTest.php,Tests\Feature,HomeControllerTest,Tests\Feature\HomeControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
HomeControllerTest.php,tests\Unit\Controllers\HomeControllerTest.php,Tests\Unit\Controllers,HomeControllerTest,Tests\Unit\Controllers\HomeControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
ProductControllerTest.php,tests\Feature\ProductControllerTest.php,Tests\Feature,ProductControllerTest,Tests\Feature\ProductControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
ProductControllerTest.php,tests\Unit\Controllers\ProductControllerTest.php,Tests\Unit\Controllers,ProductControllerTest,Tests\Unit\Controllers\ProductControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
WishlistControllerTest.php,tests\Feature\WishlistControllerTest.php,Tests\Feature,WishlistControllerTest,Tests\Feature\WishlistControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
WishlistControllerTest.php,tests\Unit\Controllers\WishlistControllerTest.php,Tests\Unit\Controllers,WishlistControllerTest,Tests\Unit\Controllers\WishlistControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
LocaleMiddlewareTest.php,tests\Feature\Middleware\LocaleMiddlewareTest.php,Tests\Feature\Middleware,LocaleMiddlewareTest,Tests\Feature\Middleware\LocaleMiddlewareTest,2048,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
LocaleMiddlewareTest.php,tests\Unit\Middleware\LocaleMiddlewareTest.php,Tests\Unit\Middleware,LocaleMiddlewareTest,Tests\Unit\Middleware\LocaleMiddlewareTest,2048,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
PerformanceTest.php,tests\Feature\Performance\PerformanceTest.php,Tests\Feature\Performance,PerformanceTest,Tests\Feature\Performance\PerformanceTest,8192,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
PerformanceTest.php,tests\Unit\Performance\PerformanceTest.php,Tests\Unit\Performance,PerformanceTest,Tests\Unit\Performance\PerformanceTest,8192,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
ApiResponseTimeTest.php,tests\Feature\Performance\ApiResponseTimeTest.php,Tests\Feature\Performance,ApiResponseTimeTest,Tests\Feature\Performance\ApiResponseTimeTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
ApiResponseTimeTest.php,tests\Unit\Performance\ApiResponseTimeTest.php,Tests\Unit\Performance,ApiResponseTimeTest,Tests\Unit\Performance\ApiResponseTimeTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
LoadTestingTest.php,tests\Feature\Performance\LoadTestingTest.php,Tests\Feature\Performance,LoadTestingTest,Tests\Feature\Performance\LoadTestingTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
LoadTestingTest.php,tests\Unit\Performance\LoadTestingTest.php,Tests\Unit\Performance,LoadTestingTest,Tests\Unit\Performance\LoadTestingTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
MemoryUsageTest.php,tests\Feature\Performance\MemoryUsageTest.php,Tests\Feature\Performance,MemoryUsageTest,Tests\Feature\Performance\MemoryUsageTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
MemoryUsageTest.php,tests\Unit\Performance\MemoryUsageTest.php,Tests\Unit\Performance,MemoryUsageTest,Tests\Unit\Performance\MemoryUsageTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
DataEncryptionTest.php,tests\Feature\Security\DataEncryptionTest.php,Tests\Feature\Security,DataEncryptionTest,Tests\Feature\Security\DataEncryptionTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
DataEncryptionTest.php,tests\Unit\Security\DataEncryptionTest.php,Tests\Unit\Security,DataEncryptionTest,Tests\Unit\Security\DataEncryptionTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
DataConsistencyTest.php,tests\Unit\DataAccuracy\DataConsistencyTest.php,Tests\Unit\DataAccuracy,DataConsistencyTest,Tests\Unit\DataAccuracy\DataConsistencyTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
DataConsistencyTest.php,tests\Unit\DataQuality\DataConsistencyTest.php,Tests\Unit\DataQuality,DataConsistencyTest,Tests\Unit\DataQuality\DataConsistencyTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
DataIntegrityTest.php,tests\Unit\DataAccuracy\DataIntegrityTest.php,Tests\Unit\DataAccuracy,DataIntegrityTest,Tests\Unit\DataAccuracy\DataIntegrityTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
DataIntegrityTest.php,tests\Unit\DataQuality\DataIntegrityTest.php,Tests\Unit\DataQuality,DataIntegrityTest,Tests\Unit\DataQuality\DataIntegrityTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
